id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_kejadian,jumlah_kekerasan,satuan,tahun
56,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TEMPAT KERJA,0,KASUS,2018
57,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,4,KASUS,2018
58,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SEKOLAH,3,KASUS,2018
59,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASILITAS UMUM,2,KASUS,2018
60,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
61,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH TANGGA,10,KASUS,2018
62,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TEMPAT KERJA,0,KASUS,2018
63,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,16,KASUS,2018
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SEKOLAH,0,KASUS,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASILITAS UMUM,3,KASUS,2018
66,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
67,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH TANGGA,7,KASUS,2018
68,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TEMPAT KERJA,0,KASUS,2018
69,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,2,KASUS,2018
70,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SEKOLAH,1,KASUS,2018
71,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASILITAS UMUM,1,KASUS,2018
72,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
73,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH TANGGA,28,KASUS,2018
74,32,JAWA BARAT,3213,KABUPATEN SUBANG,TEMPAT KERJA,0,KASUS,2018
75,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,11,KASUS,2018
76,32,JAWA BARAT,3213,KABUPATEN SUBANG,SEKOLAH,1,KASUS,2018
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,FASILITAS UMUM,7,KASUS,2018
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH TANGGA,10,KASUS,2018
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TEMPAT KERJA,0,KASUS,2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,5,KASUS,2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SEKOLAH,2,KASUS,2018
83,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASILITAS UMUM,1,KASUS,2018
84,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
85,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH TANGGA,23,KASUS,2018
86,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TEMPAT KERJA,0,KASUS,2018
87,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,11,KASUS,2018
88,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SEKOLAH,1,KASUS,2018
89,32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASILITAS UMUM,1,KASUS,2018
90,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
91,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH TANGGA,29,KASUS,2018
92,32,JAWA BARAT,3216,KABUPATEN BEKASI,TEMPAT KERJA,2,KASUS,2018
93,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,27,KASUS,2018
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,SEKOLAH,0,KASUS,2018
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASILITAS UMUM,7,KASUS,2018
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH TANGGA,15,KASUS,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TEMPAT KERJA,0,KASUS,2018
99,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAINNYA,0,KASUS,2018
100,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SEKOLAH,0,KASUS,2018
101,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASILITAS UMUM,1,KASUS,2018
102,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
103,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH TANGGA,2,KASUS,2018
104,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TEMPAT KERJA,0,KASUS,2018
105,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAINNYA,5,KASUS,2018
106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SEKOLAH,0,KASUS,2018
107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASILITAS UMUM,0,KASUS,2018
108,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
109,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH TANGGA,25,KASUS,2018
110,32,JAWA BARAT,3271,KOTA BOGOR,TEMPAT KERJA,1,KASUS,2018
111,32,JAWA BARAT,3271,KOTA BOGOR,LAINNYA,3,KASUS,2018
112,32,JAWA BARAT,3271,KOTA BOGOR,SEKOLAH,2,KASUS,2018
113,32,JAWA BARAT,3271,KOTA BOGOR,FASILITAS UMUM,6,KASUS,2018
114,32,JAWA BARAT,3271,KOTA BOGOR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
115,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH TANGGA,12,KASUS,2018
116,32,JAWA BARAT,3272,KOTA SUKABUMI,TEMPAT KERJA,0,KASUS,2018
117,32,JAWA BARAT,3272,KOTA SUKABUMI,LAINNYA,17,KASUS,2018
118,32,JAWA BARAT,3272,KOTA SUKABUMI,SEKOLAH,0,KASUS,2018
119,32,JAWA BARAT,3272,KOTA SUKABUMI,FASILITAS UMUM,0,KASUS,2018
120,32,JAWA BARAT,3272,KOTA SUKABUMI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH TANGGA,51,KASUS,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,TEMPAT KERJA,0,KASUS,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,12,KASUS,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,SEKOLAH,0,KASUS,2018
125,32,JAWA BARAT,3273,KOTA BANDUNG,FASILITAS UMUM,2,KASUS,2018
126,32,JAWA BARAT,3273,KOTA BANDUNG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
127,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH TANGGA,13,KASUS,2018
128,32,JAWA BARAT,3274,KOTA CIREBON,TEMPAT KERJA,0,KASUS,2018
129,32,JAWA BARAT,3274,KOTA CIREBON,LAINNYA,2,KASUS,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,SEKOLAH,1,KASUS,2018
131,32,JAWA BARAT,3274,KOTA CIREBON,FASILITAS UMUM,1,KASUS,2018
132,32,JAWA BARAT,3274,KOTA CIREBON,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
133,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH TANGGA,6,KASUS,2018
134,32,JAWA BARAT,3275,KOTA BEKASI,TEMPAT KERJA,0,KASUS,2018
135,32,JAWA BARAT,3275,KOTA BEKASI,LAINNYA,2,KASUS,2018
136,32,JAWA BARAT,3275,KOTA BEKASI,SEKOLAH,0,KASUS,2018
137,32,JAWA BARAT,3275,KOTA BEKASI,FASILITAS UMUM,0,KASUS,2018
138,32,JAWA BARAT,3275,KOTA BEKASI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
139,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH TANGGA,40,KASUS,2018
140,32,JAWA BARAT,3276,KOTA DEPOK,TEMPAT KERJA,0,KASUS,2018
141,32,JAWA BARAT,3276,KOTA DEPOK,LAINNYA,55,KASUS,2018
142,32,JAWA BARAT,3276,KOTA DEPOK,SEKOLAH,5,KASUS,2018
143,32,JAWA BARAT,3276,KOTA DEPOK,FASILITAS UMUM,0,KASUS,2018
144,32,JAWA BARAT,3276,KOTA DEPOK,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
145,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH TANGGA,9,KASUS,2018
146,32,JAWA BARAT,3277,KOTA CIMAHI,TEMPAT KERJA,0,KASUS,2018
147,32,JAWA BARAT,3277,KOTA CIMAHI,LAINNYA,2,KASUS,2018
148,32,JAWA BARAT,3277,KOTA CIMAHI,SEKOLAH,2,KASUS,2018
149,32,JAWA BARAT,3277,KOTA CIMAHI,FASILITAS UMUM,4,KASUS,2018
150,32,JAWA BARAT,3277,KOTA CIMAHI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH TANGGA,5,KASUS,2018
152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TEMPAT KERJA,0,KASUS,2018
153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAINNYA,2,KASUS,2018
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SEKOLAH,3,KASUS,2018
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,FASILITAS UMUM,2,KASUS,2018
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
157,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH TANGGA,1,KASUS,2018
158,32,JAWA BARAT,3279,KOTA BANJAR,TEMPAT KERJA,0,KASUS,2018
159,32,JAWA BARAT,3279,KOTA BANJAR,LAINNYA,10,KASUS,2018
160,32,JAWA BARAT,3279,KOTA BANJAR,SEKOLAH,0,KASUS,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,FASILITAS UMUM,1,KASUS,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH TANGGA,4,KASUS,2019
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,TEMPAT KEJADIAN,1,KASUS,2019
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,4,KASUS,2019
166,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEKOLAH,0,KASUS,2019
167,32,JAWA BARAT,3201,KABUPATEN BOGOR,FASILITAS UMUM,1,KASUS,2019
168,32,JAWA BARAT,3201,KABUPATEN BOGOR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
169,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH TANGGA,13,KASUS,2019
170,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TEMPAT KEJADIAN,0,KASUS,2019
171,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,107,KASUS,2019
172,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEKOLAH,0,KASUS,2019
173,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FASILITAS UMUM,0,KASUS,2019
174,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
175,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH TANGGA,1,KASUS,2019
176,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TEMPAT KEJADIAN,1,KASUS,2019
177,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,2,KASUS,2019
178,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEKOLAH,0,KASUS,2019
179,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FASILITAS UMUM,0,KASUS,2019
180,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
181,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH TANGGA,36,KASUS,2019
182,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TEMPAT KEJADIAN,1,KASUS,2019
183,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,2,KASUS,2019
184,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEKOLAH,3,KASUS,2019
185,32,JAWA BARAT,3204,KABUPATEN BANDUNG,FASILITAS UMUM,22,KASUS,2019
186,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
187,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH TANGGA,9,KASUS,2019
188,32,JAWA BARAT,3205,KABUPATEN GARUT,TEMPAT KEJADIAN,0,KASUS,2019
189,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,2,KASUS,2019
190,32,JAWA BARAT,3205,KABUPATEN GARUT,SEKOLAH,0,KASUS,2019
191,32,JAWA BARAT,3205,KABUPATEN GARUT,FASILITAS UMUM,2,KASUS,2019
192,32,JAWA BARAT,3205,KABUPATEN GARUT,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
193,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH TANGGA,0,KASUS,2019
194,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TEMPAT KEJADIAN,0,KASUS,2019
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,1,KASUS,2019
196,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEKOLAH,0,KASUS,2019
197,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASILITAS UMUM,0,KASUS,2019
198,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
199,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH TANGGA,3,KASUS,2019
200,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TEMPAT KEJADIAN,0,KASUS,2019
201,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,0,KASUS,2019
202,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEKOLAH,0,KASUS,2019
203,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASILITAS UMUM,0,KASUS,2019
204,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
205,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH TANGGA,2,KASUS,2019
206,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TEMPAT KEJADIAN,0,KASUS,2019
207,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,0,KASUS,2019
208,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEKOLAH,0,KASUS,2019
209,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASILITAS UMUM,1,KASUS,2019
210,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
211,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH TANGGA,61,KASUS,2019
212,32,JAWA BARAT,3209,KABUPATEN CIREBON,TEMPAT KEJADIAN,2,KASUS,2019
213,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,16,KASUS,2019
214,32,JAWA BARAT,3209,KABUPATEN CIREBON,SEKOLAH,14,KASUS,2019
215,32,JAWA BARAT,3209,KABUPATEN CIREBON,FASILITAS UMUM,11,KASUS,2019
216,32,JAWA BARAT,3209,KABUPATEN CIREBON,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
217,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH TANGGA,2,KASUS,2019
218,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TEMPAT KEJADIAN,0,KASUS,2019
219,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,11,KASUS,2019
220,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SEKOLAH,0,KASUS,2019
221,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FASILITAS UMUM,2,KASUS,2019
222,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
223,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUMAH TANGGA,5,KASUS,2019
224,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TEMPAT KEJADIAN,0,KASUS,2019
225,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,10,KASUS,2019
226,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SEKOLAH,0,KASUS,2019
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FASILITAS UMUM,0,KASUS,2019
228,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
229,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUMAH TANGGA,11,KASUS,2019
230,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TEMPAT KEJADIAN,1,KASUS,2019
231,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,2,KASUS,2019
232,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SEKOLAH,2,KASUS,2019
233,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASILITAS UMUM,7,KASUS,2019
234,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
235,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH TANGGA,43,KASUS,2019
236,32,JAWA BARAT,3213,KABUPATEN SUBANG,TEMPAT KEJADIAN,0,KASUS,2019
237,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,1,KASUS,2019
238,32,JAWA BARAT,3213,KABUPATEN SUBANG,SEKOLAH,0,KASUS,2019
239,32,JAWA BARAT,3213,KABUPATEN SUBANG,FASILITAS UMUM,0,KASUS,2019
240,32,JAWA BARAT,3213,KABUPATEN SUBANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
241,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUMAH TANGGA,24,KASUS,2019
242,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TEMPAT KEJADIAN,0,KASUS,2019
243,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,8,KASUS,2019
244,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SEKOLAH,1,KASUS,2019
245,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FASILITAS UMUM,1,KASUS,2019
246,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
247,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUMAH TANGGA,2,KASUS,2019
248,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TEMPAT KEJADIAN,0,KASUS,2019
249,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,0,KASUS,2019
250,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SEKOLAH,0,KASUS,2019
251,32,JAWA BARAT,3215,KABUPATEN KARAWANG,FASILITAS UMUM,1,KASUS,2019
252,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
253,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH TANGGA,4,KASUS,2019
254,32,JAWA BARAT,3216,KABUPATEN BEKASI,TEMPAT KEJADIAN,0,KASUS,2019
255,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,1,KASUS,2019
256,32,JAWA BARAT,3216,KABUPATEN BEKASI,SEKOLAH,1,KASUS,2019
257,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASILITAS UMUM,1,KASUS,2019
258,32,JAWA BARAT,3216,KABUPATEN BEKASI,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
259,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH TANGGA,14,KASUS,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TEMPAT KEJADIAN,0,KASUS,2019
261,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAINNYA,4,KASUS,2019
262,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SEKOLAH,1,KASUS,2019
263,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASILITAS UMUM,0,KASUS,2019
264,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LEMBAGA PENDIDIKAN KILAT,0,KASUS,2019
265,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH TANGGA,3,KASUS,2019
266,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TEMPAT KEJADIAN,0,KASUS,2019
267,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAINNYA,2,KASUS,2019
268,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SEKOLAH,1,KASUS,2019
